year,month,day,season,site,recording,start_s,end_s,scientific_name,common_name,confidence,category,observed
2021,7,4,passerine,N_15,20210704_052000,45,48,Colaptes auratus,Northern Flicker,0.93281746,"(0.9,0.95]",Y
2021,6,28,passerine,N_14,20210628_065000,6,9,Colaptes auratus,Northern Flicker,0.91989154,"(0.9,0.95]",Y
2021,7,4,passerine,14_16,20210704_065500,36,39,Colaptes auratus,Northern Flicker,0.9055775,"(0.9,0.95]",Y
2021,6,29,passerine,14_25,20210629_053000,57,60,Colaptes auratus,Northern Flicker,0.9103058,"(0.9,0.95]",Y
2021,7,4,passerine,N_15,20210704_052000,45,48,Colaptes auratus,Northern Flicker,0.93281746,"(0.9,0.95]",Y
2021,6,29,passerine,14_25,20210629_053000,57,60,Colaptes auratus,Northern Flicker,0.9103058,"(0.9,0.95]",Y
2021,6,29,passerine,14_25,20210629_053000,57,60,Colaptes auratus,Northern Flicker,0.9103058,"(0.9,0.95]",Y
2021,7,4,passerine,14_16,20210704_065500,36,39,Colaptes auratus,Northern Flicker,0.9055775,"(0.9,0.95]",Y
2021,7,7,passerine,N_16,20210707_064000,6,9,Colaptes auratus,Northern Flicker,0.9274607,"(0.9,0.95]",Y
2021,7,7,passerine,N_16,20210707_064000,6,9,Colaptes auratus,Northern Flicker,0.9274607,"(0.9,0.95]",Y
2021,7,7,passerine,N_16,20210707_064000,9,12,Colaptes auratus,Northern Flicker,0.96832407,"(0.95,1]",Y
2021,7,3,passerine,N_15,20210703_065500,51,54,Colaptes auratus,Northern Flicker,0.9559443,"(0.95,1]",Y
2021,6,29,passerine,14_25,20210629_053000,0,3,Colaptes auratus,Northern Flicker,0.9756998,"(0.95,1]",Y
2021,6,28,passerine,N_14,20210628_065000,42,45,Colaptes auratus,Northern Flicker,0.9959096,"(0.95,1]",Y
2021,7,7,passerine,N_16,20210707_064000,54,57,Colaptes auratus,Northern Flicker,0.9608167,"(0.95,1]",Y
2021,7,3,passerine,N_15,20210703_065500,51,54,Colaptes auratus,Northern Flicker,0.9559443,"(0.95,1]",Y
2021,6,30,passerine,14_16,20210630_055000,6,9,Colaptes auratus,Northern Flicker,0.99656737,"(0.95,1]",Y
2021,7,7,passerine,N_16,20210707_064000,21,24,Colaptes auratus,Northern Flicker,0.9694616,"(0.95,1]",Y
2021,7,7,passerine,N_16,20210707_064000,9,12,Colaptes auratus,Northern Flicker,0.96832407,"(0.95,1]",Y
2021,7,1,passerine,14_16,20210701_063000,3,6,Colaptes auratus,Northern Flicker,0.99651366,"(0.95,1]",Y
