site,recording,start_s,end_s,scientific_name,common_name,confidence
N_01,20200613_060000,42,45,Colaptes auratus,Northern Flicker,0.9246961
N_01,20200626_062500,48,51,Colaptes auratus,Northern Flicker,0.15468058
N_01,20200713_043500,51,54,Colaptes auratus,Northern Flicker,0.15291895
N_01,20200713_062000,21,24,Colaptes auratus,Northern Flicker,0.12144585
N_01,20200714_062000,12,15,Colaptes auratus,Northern Flicker,0.12068264
N_01,20200714_062000,48,51,Colaptes auratus,Northern Flicker,0.24557436
N_01,20200717_043000,27,30,Colaptes auratus,Northern Flicker,0.18725601
N_01,20200718_050000,57,60,Colaptes auratus,Northern Flicker,0.7445854
N_01,20200722_063000,51,54,Colaptes auratus,Northern Flicker,0.28148997
N_01,20200722_063000,54,57,Colaptes auratus,Northern Flicker,0.107755564
N_04,20200701_054000,30,33,Colaptes auratus,Northern Flicker,0.15690558
N_04,20200701_054000,33,36,Colaptes auratus,Northern Flicker,0.25750497
N_04,20200701_054000,36,39,Colaptes auratus,Northern Flicker,0.7237897
N_04,20200701_054000,45,48,Colaptes auratus,Northern Flicker,0.4761105
N_04,20200701_054000,48,51,Colaptes auratus,Northern Flicker,0.75615823
N_04,20200701_054000,51,54,Colaptes auratus,Northern Flicker,0.69752854
N_04,20200701_054000,57,60,Colaptes auratus,Northern Flicker,0.54721594
N_04,20200709_052000,39,42,Colaptes auratus,Northern Flicker,0.12718104
N_04,20200714_050000,21,24,Colaptes auratus,Northern Flicker,0.110369705
N_06,20200616_062500,57,60,Colaptes auratus,Northern Flicker,0.99795246
N_06,20200616_063000,6,9,Colaptes auratus,Northern Flicker,0.23259208
N_06,20200616_063000,45,48,Colaptes auratus,Northern Flicker,0.20202535
N_06,20200616_063000,48,51,Colaptes auratus,Northern Flicker,0.8717993
N_06,20200626_063000,36,39,Colaptes auratus,Northern Flicker,0.115915515
N_06,20200705_054500,18,21,Colaptes auratus,Northern Flicker,0.104485676
N_06,20200705_062000,3,6,Colaptes auratus,Northern Flicker,0.69345427
N_06,20200705_062000,6,9,Colaptes auratus,Northern Flicker,0.58568615
N_06,20200707_060500,0,3,Colaptes auratus,Northern Flicker,0.9850941
N_06,20200707_060500,3,6,Colaptes auratus,Northern Flicker,0.8893189
N_06,20200709_061500,30,33,Colaptes auratus,Northern Flicker,0.36218405
N_06,20200709_061500,33,36,Colaptes auratus,Northern Flicker,0.78474253
N_06,20200709_061500,42,45,Colaptes auratus,Northern Flicker,0.9399754
N_06,20200709_061500,45,48,Colaptes auratus,Northern Flicker,0.19951883
N_06,20200709_062500,33,36,Colaptes auratus,Northern Flicker,0.118084185
